Venue,Latitude,Longitude,Website,Address,Open,Parking,Phone,Summary,Facilities,Meeting rooms,geolocation
Annerley Library,-27.509341,153.03331,https://www.brisbane.qld.gov.au/libraries-venues-and-facilities/libraries/library-locations/annerley-library,"450 Ipswich Rd, Annerley","Monday: 10am-5pm
Tuesday: 10am-5pm
Wednesday: closed
Thursday: closed
Friday: 10am-5pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays","On street;
Off street",07 3403 1735,"The Annerley Library features a variety of facilities and services, as well as plenty of activities and events. Limited wheelchair access, phone the library for more information.","Use the website link for collections, facilities, opening hours, parking, location, upcoming events for this library; Limited wheelchair access, phone the library for more information.",No,"-27.509341, 153.03331"
Ashgrove Library,-27.443876,152.987086,https://www.brisbane.qld.gov.au/libraries-venues-and-facilities/libraries/library-locations/ashgrove-library,"87 Amarina Ave, Ashgrove","Monday: 10am-6pm
Tuesday: 10am-8pm
Wednesday: 10am-6pm
Thursday: 10am-8pm
Friday: 10am-6pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays","On street;
Off street",07 3407 1940,"The Ashgrove Library features a variety of facilities and services, as well as plenty of activities and events. It is wheelchair accessible and has community meeting rooms available for hire, including access to a kitchenette.","Use the website link for collections, facilities, opening hours, meeting rooms, parking, location, upcoming events and phone number information for this library; wheelchair accessible.","Yes;
Hearing loop;
Wheelchair accessibility;
Wheelchair accessible toilets;
Use the website link for meeting room details","-27.443876, 152.987086"
Banyo Library,-27.374391,153.078259,https://www.brisbane.qld.gov.au/libraries-venues-and-facilities/libraries/library-locations/banyo-library,"284 St Vincents Rd, Banyo","Monday: closed
Tuesday: 12 noon-6pm
Wednesday: 10am-5pm
Thursday: 10am-6pm
Friday: 12 noon-5pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays","On street;
Off street",07 3403 2200,"The Banyo Library features a variety of facilities and services, as well as plenty of activities and events. This library is also wheelchair accessible and has community meeting rooms available for hire, including access to a kitchenette.","Use the website link for collections, facilities, opening hours, meeting rooms, parking, location, upcoming events and phone number information for this library; wheelchair accessible.","Yes;
Wheelchair accessibility;
Wheelchair accessible toilets;
Use the website link for meeting room details","-27.374391, 153.078259"
Bracken Ridge Library,-27.317963,153.037889,https://www.brisbane.qld.gov.au/libraries-venues-and-facilities/libraries/library-locations/bracken-ridge-library,"Cnr Bracken and Barrett Street, Bracken Ridge","Monday: closed
Tuesday: 10am-8pm
Wednesday: 10am-8pm
Thursday: 10am-6pm
Friday: 10am-5pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays","On street;
Off street",07 3667 6060,"The Bracken Ridge Library features a variety of facilities and services, as well as plenty of activities and events. This library is also wheelchair accessible and has community meeting rooms available for hire, including access to a kitchenette.","Use the website link for collections, facilities, opening hours, meeting rooms, parking, location, upcoming events and phone number information for this library; mobility device recharge station; wheelchair accessible.","Yes;
Hearing loop;
Wheelchair accessibility;
Wheelchair accessible toilets;
Use the website link for meeting room details","-27.317963, 153.037889"
Brisbane Square Library,-27.470824,153.022451,https://www.brisbane.qld.gov.au/libraries-venues-and-facilities/libraries/library-locations/brisbane-square-library,"266 George St, Brisbane City","Monday: 9am-6pm
Tuesday: 9am-6pm
Wednesday: 9am-6pm
Thursday: 9am-6pm
Friday: 9am-7pm
Saturday: 9am-4pm
Sunday: 10am-3pm
Closed on public holidays",No dedicated parking,07 3403 4166,"The Brisbane Square Library in Brisbane City features a variety of facilities and services, as well as plenty of activities and events. This library is wheelchair accessible and has community meeting rooms available for hire, including access to a kitchenette.","Use the website link for collections, facilities, opening hours, meeting rooms, parking, location, upcoming events and phone number information for this library; mobility device recharge station; wheelchair accessible.","Yes;
Hearing loop; 
Wheelchair accessibility;
Wheelchair accessible toilets;
Use the website link for meeting room details","-27.470824, 153.022451"
Bulimba Library,-27.452075,153.062858,https://www.brisbane.qld.gov.au/libraries-venues-and-facilities/libraries/library-locations/bulimba-library,"Cnr Riding Rd & Oxford St, Bulimba","Monday: closed
Tuesday: 9am-5pm
Wednesday: 1pm-8pm
Thursday: 9am-5pm
Friday: 9am-5pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays","On street;
Off street
Car park is locked at 
5:00pm on Tues, Thurs and Fri;
8:00pm on Wed;
4:00pm Sat;
Vehicles not removed by this time will be secured until the library's next opening day;
No after-hours access to carpark for meeting room users.",07 3407 8223,"The Bulimba Library features a variety of facilities and services, as well as plenty of activities and events. This library has community meeting rooms available for hire, including access to a kitchenette. Limited wheelchair access available, please phone the library for more information.","Use the website link for collections, facilities, meeting rooms, opening hours, parking, location, upcoming events for this library; Limited wheelchair access , phone the library for more information.","Yes; Limited wheelchair access available, please phone the library for more information; Wheelchair accessibility (Room 1);
Wheelchair accessible toilets (Room 1);
Use the website link for meeting room details","-27.452075, 153.062858"
Carina Library,-27.493284,153.09006,https://www.brisbane.qld.gov.au/libraries-venues-and-facilities/libraries/library-locations/carina-library,"Cnr Mayfield Rd & Nyrang St, Carina","Monday: 10am-6pm
Tuesday: 10am-6pm
Wednesday: closed
Thursday: closed
Friday: 10am-6pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays","On street;
Off street",07 3407 1873,"The Carina Library features a variety of facilities and services, as well as plenty of activities and events. This library is also wheelchair accessible.","Use the website link for collections, facilities, opening hours, parking, location, upcoming events and phone number information for this library; wheelchair accessible.",No,"-27.493284, 153.09006"
Carindale Library,-27.50134,153.102746,https://www.brisbane.qld.gov.au/libraries-venues-and-facilities/libraries/library-locations/carindale-library,"Westfield Carindale, 1151 Creek Road, Carindale","Monday: 9am-5.30pm
Tuesday: 9am-5.30pm
Wednesday: 9am-5.30pm
Thursday: 9am-8pm
Friday: 9am-5.30pm
Saturday: 9am-4pm
Sunday: 10am-4pm
Closed on public holidays",Shopping Centre,07 3407 1490,"The Carindale Library features a variety of facilities and services, as well as plenty of activities and events. This library is wheelchair accessible and has community meeting rooms available for hire, including access to a kitchenette.","Use the website link for collections, facilities, opening hours, meeting rooms, parking, location, upcoming events and phone number information for this library; mobility device recharge station; wheelchair accessible.","Yes;
Hearing loop;
Wheelchair accessibility;
Wheelchair accessible toilets;
Use the website link for meeting room details","-27.50134, 153.102746"
Chermside Library,-27.386161,153.034879,https://www.brisbane.qld.gov.au/libraries-venues-and-facilities/libraries/library-locations/chermside-library,"375 Hamilton Rd, Chermside","Monday: 9am-6pm
Tuesday: 9am-8pm
Wednesday: 9am-6pm
Thursday: 9am-8pm
Friday: 9am-6pm
Saturday: 9am-4pm
Sunday: 10am-4pm
Closed on public holidays",Off street,07 3403 7200,"The Chermside Library is located in our North Regional Business Centre, offering convenience for the community by providing facilities and services in one central location. The library is wheelchair accessible and has community meeting rooms for hire, including access to a kitchenette.","Use the website link for collections, facilities, opening hours, meeting rooms, parking, location, upcoming events and phone number information for this library; mobility device recharge station; wheelchair accessible.","Yes;
Hearing loop;
Wheelchair accessibility;
Wheelchair accessible toilets;
Use the website link for meeting room details","-27.386161, 153.034879"
Coopers Plains Library,-27.564998,153.039658,https://www.brisbane.qld.gov.au/libraries-venues-and-facilities/libraries/library-locations/coopers-plains-library,"107 Orange Grove Rd, Coopers Plains","Monday: closed
Tuesday: 10am-5pm
Wednesday: 10am-8pm
Thursday: 10am-5pm
Friday: 10am-5pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays","On street;
Off street",07 3403 1530,"The Coopers Plains Library features a variety of facilities and services, as well as plenty of activities and events. This library is also wheelchair accessible and has community meeting rooms available for hire, including access to a kitchenette.","Use the website link for collections, facilities, opening hours, meeting rooms, parking, location, upcoming events and phone number information for this library; wheelchair accessible.","Yes;
Hearing loop;
Wheelchair accessibility;
Wheelchair accessible toilets;
Use the website link for meeting room details","-27.564998, 153.039658"
